compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
sm11-1_neut->an,3.61,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,o1cccc1-c1n(nc(c1)C(O)=O)C,,,
sm11-2_neut->an,2.91,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C1N(C=C(C=C1)c1ccccc1)CC(O)=O,,,
sm11-3_cation->neut,5.02,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O(C)c1ccc(cc1)-c1ncccc1,,,
sm11-4_cation->neut,6.1,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,n1cnc(N)cc1C(C)(C)C,,,
sm11-5_cation->neut,8.99,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C(N)c1ccc(cc1)CN,,,
sm11-6_neut->an,4.24,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C1N(c2c(C1)cc(cc2)C(O)=O)C,,,
sm11-7_cation->neut,4.58,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Br.s1cc(nc1N)-c1ccc(cc1)C,,,
sm11-8_neut->an,8.5,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Oc1ccc(cc1)C(=O)NCc1ccccc1,,,
sm11-9_neut->an,4.4,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1ccc(N2CCN(CC2)C(=O)C(C)(C)C)cc1,,,
sm11-10_neut->an,4.65,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Clc1cc(C(O)=O)c(OC)cc1N,,,
sm11-11_neut->an,3.73,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1nc2ncccc2cc1,,,
sm11-11_cation->neut,1.67,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1nc2ncccc2cc1,,,
sm11-12_cation->neut,1.98,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cc(ncc1)NC(=O)C,,,
sm11-12_neut->an,3.67,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cc(ncc1)NC(=O)C,,,
sm11-13_neut->an,8.15,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,o1cnnc1-c1ccc(O)cc1,,,
sm11-14_neut->an,7.41,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,,,,
sm11-15_neut->an,5.18,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,s1c2c(cccc2)c(O)c1C(=O)C,,,
sm11-16_neut->an,9.46,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Oc1cc(NC(=O)CC(C)C)ccc1,,,
sm11-17_neut->an,3.79,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cc(-n2cccc2)ccc1,,,
sm11-18_neut->an,8.96,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,s1c2N=CNC(=O)c2cc1CC,,,
sm11-19_cation->neut,6.76,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OCc1n2c(nc1C)C=CC=C2,,,
sm11-20_neut->an,4.24,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C1N(c2c(cc(cc2)C(O)=O)C1(C)C)C,,,
sm11-21_neut->an,3.05,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)C=1n2nc(cc2N=C(C=1)C1CC1)C(C)(C)C,,,
sm11-21_cation->neut,3.05,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)C=1n2nc(cc2N=C(C=1)C1CC1)C(C)(C)C,,,
sm11-22_neut->an,8.93,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Oc1ccccc1C(=O)N(C)C,,,
sm11-23_neut->an,3.16,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cnc(nc1C)CC,,,
sm11-23_cation->neut,3.16,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1cnc(nc1C)CC,,,
sm11-24_cation->neut,7.63,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O1CCN(CC1)c1cc(nc2c1cccc2)C,,,
sm11-25_cation->neut,5.75,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C(N)CCn1c2cc(C)c(cc2nc1)C,,,
sm11-26_neut->an,9.24,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Fc1cc2c(N=CNC2=O)cc1,,,
sm11-27_cation->neut,4.47,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O=C(N)c1ccc(cc1)-c1ncccc1,,,
sm11-28_cation->neut,5.95,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,n1ccn(C)c1-c1cccnc1,,,
sm11-29_neut->an,3.28,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,OC(=O)c1nnn(c1C1CC1)-c1ccc(cc1)C,,,
sm11-30_neut->an,7.89,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,Oc1cc2c(cc1C(=O)NCCO)cccc2,,,
sm11-31_neut->an,2.87,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,O1CC(=O)N(c2c1cccc2)CC(O)=O,,,
sm11-32_cation->neut,6.64,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,o1nc(cc1-c1ccccc1)C(=O)N1CCN(CC1)C,,,
sm11-33_cation->neut,6.79,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,s1cccc1-c1n2CCCc2nc1,,,
sm11-34_neut->an,4.04,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,S(Cc1ccc(cc1)C(O)=O)C,,,
sm11-35_cation->neut,6.3,,https://pubs.rsc.org/en/content/articlelanding/2025/cp/d5cp01448d,"n1cc(ccc1N)-c1ccccc1	",,,
sm6-1_neut->an,9.53,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,,"InChI=1S/C12H11NO3/c14-7-3-4-10-9(6-7)8-2-1-5-13-12(15)11(8)16-10/h3-4,6,14H,1-2,5H2,(H,13,15)ÊÊ",AACFPJSJOWQNBN-UHFFFAOYSA-NÊ
sm6-2_cation->neut,5.03,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F,,"InChI=1S/C15H10F3N3/c16-15(17,18)10-4-3-5-11(8-10)21-14-12-6-1-2-7-13(12)19-9-20-14/h1-9H,(H,19,20,21)ÊÊ",VCOMYMMMFREKQC-UHFFFAOYSA-NÊÊ
sm6-3_neut->an,7.02,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3,,"InChI=1S/C14H11N3OS2/c18-13(11-7-4-8-19-11)15-14-17-16-12(20-14)9-10-5-2-1-3-6-10/h1-8H,9H2,(H,15,17,18)ÊÊ",IGBVONNIYTWQQL-UHFFFAOYSA-NÊ
sm6-4_cation->neut,6.02,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,,"ÊInChI=1S/C15H12ClN3/c16-12-7-5-11(6-8-12)9-17-15-13-3-1-2-4-14(13)18-10-19-15/h1-8,10H,9H2,(H,17,18,19)ÊÊ",BTRLSAYDVSPYCS-UHFFFAOYSA-NÊÊ
sm6-5_cation->neut,4.59,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)N3CCCCC3,,"InChI=1S/C16H17ClN2O2/c17-15-9-8-14(21-15)16(20)18-12-6-2-3-7-13(12)19-10-4-1-5-11-19/h2-3,6-9H,1,4-5,10-11H2,(H,18,20)ÊÊ",VZFMTNFVLVJCCC-UHFFFAOYSA-NÊÊ
sm6-6_cation->neut,3.03,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,,"ÊInChI=1S/C15H10BrN3O/c16-12-7-11(8-17-9-12)15(20)19-13-5-1-3-10-4-2-6-18-14(10)13/h1-9H,(H,19,20)ÊÊ",ZQSXDZKZFCDQSE-UHFFFAOYSA-N
sm6-6_neut->an,11.74,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,,"ÊInChI=1S/C15H10BrN3O/c16-12-7-11(8-17-9-12)15(20)19-13-5-1-3-10-4-2-6-18-14(10)13/h1-9H,(H,19,20)ÊÊ",ZQSXDZKZFCDQSE-UHFFFAOYSA-N
sm6-7_cation->neut,6.08,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)CNc2c3ccccc3ncn2,,"ÊInChI=1S/C15H13N3/c1-2-6-12(7-3-1)10-16-15-13-8-4-5-9-14(13)17-11-18-15/h1-9,11H,10H2,(H,16,17,18)Ê",FVWANTDQRFSCAL-UHFFFAOYSA-NÊÊ
sm6-8_neut->an,4.22,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,,"InChI=1S/C18H15NO3/c1-11-7-8-15-13(9-11)17(12-5-3-2-4-6-12)14(10-16(20)21)18(22)19-15/h2-9H,10H2,1H3,(H,19,22)(H,20,21)ÊÊ",NAOPCRAIYGPGOJ-UHFFFAOYSA-NÊ
sm6-9_cation->neut,5.37,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,COc1cccc(c1)Nc2c3ccccc3ncn2.Cl,,"InChI=1S/C15H13N3O.ClH/c1-19-12-6-4-5-11(9-12)18-15-13-7-2-3-8-14(13)16-10-17-15;/h2-10H,1H3,(H,16,17,18);1HÊÊ",JKXWTCGOHAXNQI-UHFFFAOYSA-N
sm6-10_neut->an,9.02,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)C(=O)NCC(=O)Nc2nc3ccccc3s2,,"InChI=1S/C16H13N3O2S/c20-14(10-17-15(21)11-6-2-1-3-7-11)19-16-18-12-8-4-5-9-13(12)22-16/h1-9H,10H2,(H,17,21)(H,18,19,20)ÊÊ",XADJPGOQPUOTJY-UHFFFAOYSA-N
sm6-11_cation->neut,3.89,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,,"InChI=1S/C11H9N5/c12-10-9-6-15-16(11(9)14-7-13-10)8-4-2-1-3-5-8/h1-7H,(H2,12,13,14)Ê",KKDPIZPUTYIBFX-UHFFFAOYSA-NÊ
sm6-12_cation->neut,5.28,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,,"ÊInChI=1S/C14H10ClN3.ClH/c15-10-4-3-5-11(8-10)18-14-12-6-1-2-7-13(12)16-9-17-14;/h1-9H,(H,16,17,18);1HÊÊ",ÊKJSNIHYRHGBGAQ-UHFFFAOYSA-N
sm6-13_cation->neut,5.77,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,,"InChI=1S/C17H17N3O2/c1-11-5-4-6-12(7-11)20-17-13-8-15(21-2)16(22-3)9-14(13)18-10-19-17/h4-10H,1-3H3,(H,18,19,20)ÊÊ",RSVNNWQHWIOIOC-UHFFFAOYSA-NÊ
sm6-14_2cation->cation,2.58,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)n2cnc3c2ccc(c3)N,,"InChI=1S/C13H11N3/c14-10-6-7-13-12(8-10)15-9-16(13)11-4-2-1-3-5-11/h1-9H,14H2",JSQMNGQWESPAOF-UHFFFAOYSA-N
sm6-14_cation->neut,5.3,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)n2cnc3c2ccc(c3)N,,"InChI=1S/C13H11N3/c14-10-6-7-13-12(8-10)15-9-16(13)11-4-2-1-3-5-11/h1-9H,14H2",JSQMNGQWESPAOF-UHFFFAOYSA-N
sm6-15_cation->neut,4.7,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)ncn2c3ccc(cc3)O,,"InChI=1S/C13H10N2O/c16-11-7-5-10(6-8-11)15-9-14-12-3-1-2-4-13(12)15/h1-9,16HÊÊ",YPKCOJPZSAGCHD-UHFFFAOYSA-NÊÊ
sm6-15_neut->an,8.94,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)ncn2c3ccc(cc3)O,,"InChI=1S/C13H10N2O/c16-11-7-5-10(6-8-11)15-9-14-12-3-1-2-4-13(12)15/h1-9,16HÊÊ",YPKCOJPZSAGCHD-UHFFFAOYSA-NÊÊ
sm6-16_cation->neut,5.37,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,,"InChI=1S/C12H8Cl2N2O/c13-9-2-1-3-10(14)11(9)12(17)16-8-4-6-15-7-5-8/h1-7H,(H,15,16,17)",OLJPUMGNYIOTFM-UHFFFAOYSA-N
sm6-16_neut->an,10.65,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,,"InChI=1S/C12H8Cl2N2O/c13-9-2-1-3-10(14)11(9)12(17)16-8-4-6-15-7-5-8/h1-7H,(H,15,16,17)",OLJPUMGNYIOTFM-UHFFFAOYSA-N
sm6-17_cation->neut,3.16,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,,"InChI=1S/C14H11N3OS/c1-2-4-11(5-3-1)10-19-14-17-16-13(18-14)12-6-8-15-9-7-12/h1-9H,10H2",JYGQRLOMJKRAQM-UHFFFAOYSA-NÊ
sm6-18_cation->neut,2.15,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,,"InChI=1S/C21H16F2N4O2S/c22-15-6-5-12(10-16(15)23)9-13-11-24-21(30-13)27-19(28)8-7-18-25-17-4-2-1-3-14(17)20(29)26-18/h1-6,10-11H,7-9H2,(H,24,27,28)(H,25,26,29)Ê",NSBOINOQPZJFJR-UHFFFAOYSA-N
sm6-18_neut->an,9.58,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,,"InChI=1S/C21H16F2N4O2S/c22-15-6-5-12(10-16(15)23)9-13-11-24-21(30-13)27-19(28)8-7-18-25-17-4-2-1-3-14(17)20(29)26-18/h1-6,10-11H,7-9H2,(H,24,27,28)(H,25,26,29)Ê",NSBOINOQPZJFJR-UHFFFAOYSA-N
sm6-18_an->2an,11.02,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,,"InChI=1S/C21H16F2N4O2S/c22-15-6-5-12(10-16(15)23)9-13-11-24-21(30-13)27-19(28)8-7-18-25-17-4-2-1-3-14(17)20(29)26-18/h1-6,10-11H,7-9H2,(H,24,27,28)(H,25,26,29)Ê",NSBOINOQPZJFJR-UHFFFAOYSA-N
sm6-19me_neut->an,9.56,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,CCc1cc(SC(NC(Cc2cc(Cl)c(Cl)cc2)=O)[N]3)c3cc1,,"InChI=1S/C17H15Cl2N2OS/c1-2-10-4-6-14-15(8-10)23-17(20-14)21-16(22)9-11-3-5-12(18)13(19)7-11/h3-8,17H,2,9H2,1H3,(H,21,22)",HBKYFMHOGASEDV-UHFFFAOYSA-N
sm6-20_neut->an,5.7,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc(cc(c1)OCc2ccc(cc2Cl)Cl)/C=C/3\C(=O)NC(=O)S3,,"InChI=1S/C17H11Cl2NO3S/c18-12-5-4-11(14(19)8-12)9-23-13-3-1-2-10(6-13)7-15-16(21)20-17(22)24-15/h1-8H,9H2,(H,20,21,22)/b15-7+",XQTSESLEAASMKJ-VIZOYTHASA-N
sm6-21_cation->neut,4.1,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc(cc(c1)Br)Nc2c(cnc(n2)Nc3cccc(c3)Br)F,,"InChI=1S/C16H11Br2FN4/c17-10-3-1-5-12(7-10)21-15-14(19)9-20-16(23-15)22-13-6-2-4-11(18)8-13/h1-9H,(H2,20,21,22,23)",JMFBVEWGVFCOKD-UHFFFAOYSA-N
sm6-22_cation->neut,2.4,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2c(cc(c(c2nc1)O)I)I,,"InChI=1S/C9H5I2NO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H",UXZFQZANDVDGMM-UHFFFAOYSA-N
sm6-22_neut->an,7.43,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2c(cc(c(c2nc1)O)I)I,,"InChI=1S/C9H5I2NO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H",UXZFQZANDVDGMM-UHFFFAOYSA-N
sm6-23me_cation->neut,5.45,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,COC(c1ccc(Nc2nc(Nc3ccc(C(OC)=O)cc3)nc(C)c2)cc1)=O,,"InChI=1S/C21H20N4O4/c1-13-12-18(23-16-8-4-14(5-9-16)19(26)28-2)25-21(22-13)24-17-10-6-15(7-11-17)20(27)29-3/h4-12H,1-3H3,(H2,22,23,24,25)",BKMXVXMNGPLTOJ-UHFFFAOYSA-N
