compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
sm6-24_cation->neut,2.6,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,COc1ccc(cc1)c2c3c(ncnc3oc2c4ccc(cc4)OC)NCCO,,"InChI=1S/C22H21N3O4/c1-27-16-7-3-14(4-8-16)18-19-21(23-11-12-26)24-13-25-22(19)29-20(18)15-5-9-17(28-2)10-6-15/h3-10,13,26H,11-12H2,1-2H3,(H,23,24,25)",ARBUGBBNEFAECO-UHFFFAOYSA-N
sm7-25_neut->an,4.49,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=C(NS(C1=CC=CC=C1)(=O)=O)CCC2=CC=CC=C2,,"InChI=1S/C15H15NO3S/c17-15(12-11-13-7-3-1-4-8-13)16-20(18,19)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,16,17)",OXDPYOBJCCTYAF-UHFFFAOYSA-N
sm7-26_neut->an,4.91,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(CCC1=CC=CC=C1)(NC(C)=O)=O,,"InChI=1S/C10H13NO3S/c1-9(12)11-15(13,14)8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,11,12)",ZYPZFMNTSASEKA-UHFFFAOYSA-N
sm7-27_neut->an,10.45,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(CCC1=CC=CC=C1)(NC2(C)COC2)=O,,"InChI=1S/C12H17NO3S/c1-12(9-16-10-12)13-17(14,15)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",YPTGBFBXBCZAFG-UHFFFAOYSA-N
sm7-29_neut->an,10.05,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(NC1(COC1)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO3S/c1-17(14,15)13-12(9-16-10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",GTQDPTRMCYDNMG-UHFFFAOYSA-N
sm7-30_neut->an,10.29,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(COC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C17H19NO3S/c19-22(20,16-9-5-2-6-10-16)18-17(13-21-14-17)12-11-15-7-3-1-4-8-15/h1-10,18H,11-14H2",DSHBIKIQYZMXSV-UHFFFAOYSA-N
sm7-31_neut->an,11.02,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(COC1)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O3S/c1-15(2)19(16,17)14-13(10-18-11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3",RHDCIYWAWGPHGX-UHFFFAOYSA-N
sm7-32_neut->an,10.45,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(NC1(CSC1)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO2S2/c1-17(14,15)13-12(9-16-10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",LLATUROHTKAZOV-UHFFFAOYSA-N
sm7-34_neut->an,11.93,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(CSC1)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O2S2/c1-15(2)19(16,17)14-13(10-18-11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3",JLVMZWSAFDHYOQ-UHFFFAOYSA-N
sm7-35_neut->an,9.87,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO3S2/c1-18(15,16)13-12(9-17(14)10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3/t12-,17?",IKCCGGPBCKYXJH-QGUQNAGSSA-N
sm7-36_neut->an,9.8,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C17H19NO3S2/c19-22-13-17(14-22,12-11-15-7-3-1-4-8-15)18-23(20,21)16-9-5-2-6-10-16/h1-10,18H,11-14H2/t17-,22?",IUZDEVPPTVLCPG-FYUAEQPTSA-N
sm7-37_neut->an,10.33,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O3S2/c1-15(2)20(17,18)14-13(10-19(16)11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3/t13-,19?",KSLZYUFPIUDTGI-YNKSWIHASA-N
sm7-38_neut->an,9.44,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO4S2/c1-18(14,15)13-12(9-19(16,17)10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",UGOFJYMDPOFIIG-UHFFFAOYSA-N
sm7-39_neut->an,10.22,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C17H19NO4S2/c19-23(20)13-17(14-23,12-11-15-7-3-1-4-8-15)18-24(21,22)16-9-5-2-6-10-16/h1-10,18H,11-14H2",WQAPJMXIYRTJAI-UHFFFAOYSA-N
sm7-40_neut->an,9.58,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O4S2/c1-15(2)21(18,19)14-13(10-20(16,17)11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3",NDFRHTSAJSVBBW-UHFFFAOYSA-N
sm7-41_neut->an,5.22,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C)=O,,"InChI=1S/C10H10N2O3S/c1-16(13,14)12-10-7-9(15-11-10)8-5-3-2-4-6-8/h2-7H,1H3,(H,11,12)",IZPIXDIDZLOIPG-UHFFFAOYSA-N
sm7-42_neut->an,6.62,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C3=CC=CC=C3)=O,,"InChI=1S/C15H12N2O3S/c18-21(19,13-9-5-2-6-10-13)17-15-11-14(20-16-15)12-7-3-1-4-8-12/h1-11H,(H,16,17)",VVXJHLGAEFGYFM-UHFFFAOYSA-N
sm7-43_neut->an,5.62,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(N(C)C)=O,,"InChI=1S/C11H13N3O3S/c1-14(2)18(15,16)13-11-8-10(17-12-11)9-6-4-3-5-7-9/h3-8H,1-2H3,(H,12,13)",NPCJBDMKFDYWEP-UHFFFAOYSA-N
sm7-44_neut->an,6.34,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C)=O,,"InChI=1S/C9H10N4O2S/c1-16(14,15)11-9-7-13(12-10-9)8-5-3-2-4-6-8/h2-7,11H,1H3",GELHRYLBISDEHI-UHFFFAOYSA-N
sm7-45_neut->an,5.93,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C14H12N4O2S/c19-21(20,13-9-5-2-6-10-13)16-14-11-18(17-15-14)12-7-3-1-4-8-12/h1-11,16H",VBQOGZVHGSKAGT-UHFFFAOYSA-N
sm7-46_neut->an,6.42,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C10H13N5O2S/c1-14(2)18(16,17)12-10-8-15(13-11-10)9-6-4-3-5-7-9/h3-8,12H,1-2H3",GDFIIHOWLLSAAP-UHFFFAOYSA-N
sm8-1_neut->an,3.99,,https://github.com/samplchallenges/SAMPL8/blob/master/physical_properties/experimental_data/SAMPL8%20-%20SiriusT3%20measurements.pdf,OC(c1c(Nc2cc(C(F)(F)F)ccc2)cccc1)=O,,"InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)",LPEPZBJOKDYZAD-UHFFFAOYSA-N
sm8-2_neut->an,4.5,,https://github.com/samplchallenges/SAMPL8/blob/master/physical_properties/experimental_data/SAMPL8%20-%20SiriusT3%20measurements.pdf,CS(=O)(c1ccc(CCC(O)=O)cc1)=O,,"InChI=1S/C10H12O4S/c1-15(13,14)9-5-2-8(3-6-9)4-7-10(11)12/h2-3,5-6H,4,7H2,1H3,(H,11,12)",ZZZBVBATZOAPQB-UHFFFAOYSA-N
sm8-3_neut->an,4,,https://link.springer.com/article/10.1007/s10822-021-00427-0,NS(=O)(c1c(Cl)cc(NCc2occc2)c(C(O)=O)c1)=O,,"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)",ZZUFCTLCJUWOSV-UHFFFAOYSA-N
sm8-4_neut->an,5.77,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Cc1c(C(O)=O)nc(Nc2cc(Cl)c(C#N)cc2)s1,,"InChI=1S/C12H8ClN3O2S/c1-6-10(11(17)18)16-12(19-6)15-8-3-2-7(5-14)9(13)4-8/h2-4H,1H3,(H,15,16)(H,17,18)",PCUVBAAFHAZOHN-UHFFFAOYSA-N
sm8-5_neut->an,4.23,,https://github.com/samplchallenges/SAMPL8/blob/master/physical_properties/experimental_data/SAMPL8%20-%20SiriusT3%20measurements.pdf,OC(Cc1c(Nc2c(Cl)cccc2Cl)cccc1)=O,,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",DCOPUUMXTXDBNB-UHFFFAOYSA-N
sm8-6_neut->an,4.17,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Cc1c(NCc2sc(C(O)=O)cc2)cc(Cl)cc1,,"InChI=1S/C13H12ClNO2S/c1-8-2-3-9(14)6-11(8)15-7-10-4-5-12(18-10)13(16)17/h2-6,15H,7H2,1H3,(H,16,17)",VUSFWTZXPQMGCA-UHFFFAOYSA-N
sm8-7_cation->neut,6.63,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Nc(n1)n(CC2(CCOCC2)O)c3c1ccc(Br)c3,,"InChI=1S/C13H16BrN3O2/c14-9-1-2-10-11(7-9)17(12(15)16-10)8-13(18)3-5-19-6-4-13/h1-2,7,18H,3-6,8H2,(H2,15,16)",DQQJTMKHDDKOJM-UHFFFAOYSA-N
sm8-8_cation->neut,2.78,,https://link.springer.com/article/10.1007/s10822-021-00427-0,COC(c(c1)nc2n1cccc2C(F)(F)F)=O,,"InChI=1S/C10H7F3N2O2/c1-17-9(16)7-5-15-4-2-3-6(8(15)14-7)10(11,12)13/h2-5H,1H3",HHDUJZFMAASDTK-UHFFFAOYSA-N
sm8-9_cation->neut,6.08,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Nc(n1)n(CC2(CCCCC2)O)c3c1ccc(Br)c3,,"InChI=1S/C14H18BrN3O/c15-10-4-5-11-12(8-10)18(13(16)17-11)9-14(19)6-2-1-3-7-14/h4-5,8,19H,1-3,6-7,9H2,(H2,16,17)",NBGDKCHTPMOGRJ-UHFFFAOYSA-N
sm8-10_cation->neut,7.71,,https://link.springer.com/article/10.1007/s10822-021-00427-0,CS(=O)(c1cc(c2ccc(CNCc3c(Cl)cccc3F)cc2)ccc1)=O,,"InChI=1S/C21H19ClFNO2S/c1-27(25,26)18-5-2-4-17(12-18)16-10-8-15(9-11-16)13-24-14-19-20(22)6-3-7-21(19)23/h2-12,24H,13-14H2,1H3",XJJYWBGEKDIJIS-UHFFFAOYSA-N
sm8-12_cation->neut,6.98,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Cc1ccc(Cc2c(N3CCOCC3)nc(N)nc2)cc1,,"InChI=1S/C16H20N4O/c1-12-2-4-13(5-3-12)10-14-11-18-16(17)19-15(14)20-6-8-21-9-7-20/h2-5,11H,6-10H2,1H3,(H2,17,18,19)",HHULTXGZBWPPAF-UHFFFAOYSA-N
sm8-14_cation->neut,7.27,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Cc1c(O)c(C(C)(C)C)cc(Cc2c(N)nc(N)nc2)c1,,"InChI=1S/C16H22N4O/c1-9-5-10(7-12(13(9)21)16(2,3)4)6-11-8-19-15(18)20-14(11)17/h5,7-8,21H,6H2,1-4H3,(H4,17,18,19,20)",CNXOYJDOJBIVDI-UHFFFAOYSA-N
sm8-15_cation->neut,2.54,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Cc1c(Nc(nc(Cl)n2)c3c2cccc3)cccc1,,"InChI=1S/C15H12ClN3/c1-10-6-2-4-8-12(10)17-14-11-7-3-5-9-13(11)18-15(16)19-14/h2-9H,1H3,(H,17,18,19)",VLMCLFBJKWKCDN-UHFFFAOYSA-N
sm8-16_cation->neut,5.1,,https://link.springer.com/article/10.1007/s10822-021-00427-0,CC(C)(OC(NCc(n1)[nH]c2c1cccc2)=O)C,,"InChI=1S/C13H17N3O2/c1-13(2,3)18-12(17)14-8-11-15-9-6-4-5-7-10(9)16-11/h4-7H,8H2,1-3H3,(H,14,17)(H,15,16)ÊÊ",WRAOGDJKTDDORV-UHFFFAOYSA-NÊ
sm8-17_cation->neut,6.58,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Nc(n1)n(CC2(CCOCC2)CO)c3c1ccc(Br)c3,,"InChI=1S/C14H18BrN3O2/c15-10-1-2-11-12(7-10)18(13(16)17-11)8-14(9-19)3-5-20-6-4-14/h1-2,7,19H,3-6,8-9H2,(H2,16,17)",DEXDPYDXXIZUFE-UHFFFAOYSA-N
sm8-18_cation->neut,2.72,,https://link.springer.com/article/10.1007/s10822-021-00427-0,COc1c(OC)cc(Nc(nc(Cl)n2)c3c2cccc3)cc1,,"InChI=1S/C16H14ClN3O2/c1-21-13-8-7-10(9-14(13)22-2)18-15-11-5-3-4-6-12(11)19-16(17)20-15/h3-9H,1-2H3,(H,18,19,20)",VYQOQVFRTFZOKI-UHFFFAOYSA-N
sm8-19_cation->neut,4.93,,https://link.springer.com/article/10.1007/s10822-021-00427-0,COC1=NC=C(CC2=CN=C(NC2=O)SCC3=NC4=C(N3C)C=CC=C4)C=N1,,"InChI=1S/C19H18N6O2S/c1-25-15-6-4-3-5-14(15)23-16(25)11-28-19-22-10-13(17(26)24-19)7-12-8-20-18(27-2)21-9-12/h3-6,8-10H,7,11H2,1-2H3,(H,22,24,26)",XSAINYBPLYBYDD-UHFFFAOYSA-N
sm8-19_neut->an,6.99,,https://link.springer.com/article/10.1007/s10822-021-00427-0,COC1=NC=C(CC2=CN=C(NC2=O)SCC3=NC4=C(N3C)C=CC=C4)C=N1,,"InChI=1S/C19H18N6O2S/c1-25-15-6-4-3-5-14(15)23-16(25)11-28-19-22-10-13(17(26)24-19)7-12-8-20-18(27-2)21-9-12/h3-6,8-10H,7,11H2,1-2H3,(H,22,24,26)",XSAINYBPLYBYDD-UHFFFAOYSA-N
sm8-20_cation->neut,2.44,,https://link.springer.com/article/10.1007/s10822-021-00427-0,NC1=NNC2=C1C=C(Cl)C(C3=CC=CC=C3)=N2,,"InChI=1S/C12H9ClN4/c13-9-6-8-11(14)16-17-12(8)15-10(9)7-4-2-1-3-5-7/h1-6H,(H3,14,15,16,17)",AHZYOIVYZHOXBU-UHFFFAOYSA-N
sm8-20_neut->an,11.44,,https://link.springer.com/article/10.1007/s10822-021-00427-0,COc1c(O)c(OC)cc(Cc2c(OC)nc(N)nc2N)c1,,"InChI=1S/C14H18N4O4/c1-20-9-5-7(6-10(21-2)11(9)19)4-8-12(15)17-14(16)18-13(8)22-3/h5-6,19H,4H2,1-3H3,(H4,15,16,17,18)",KURIUXFGDYETDJ-UHFFFAOYSA-N
sm8-21_cation->neut,5.38,,https://link.springer.com/article/10.1007/s10822-021-00427-0,COc1c(O)c(OC)cc(Cc2c(OC)nc(N)nc2N)c1,,"InChI=1S/C14H18N4O4/c1-20-9-5-7(6-10(21-2)11(9)19)4-8-12(15)17-14(16)18-13(8)22-3/h5-6,19H,4H2,1-3H3,(H4,15,16,17,18)",KURIUXFGDYETDJ-UHFFFAOYSA-N
sm8-22_cation->neut,2.57,,https://link.springer.com/article/10.1007/s10822-021-00427-0,COc(c1)c(OC)cc2c1nc(Cl)nc2N,,"InChI=1S/C10H10ClN3O2/c1-15-7-3-5-6(4-8(7)16-2)13-10(11)14-9(5)12/h3-4H,1-2H3,(H2,12,13,14)",HWIIAAVGRHKSOJ-UHFFFAOYSA-N
sm8-23_cation->neut,2.65,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Cc(n1)sc2c1cc(O)cc2,,"InChI=1S/C8H7NOS/c1-5-9-7-4-6(10)2-3-8(7)11-5/h2-4,10H,1H3",LAKVUPMDDFICNR-UHFFFAOYSA-N
sm8-23_neut->an,9.02,,https://link.springer.com/article/10.1007/s10822-021-00427-0,Cc(n1)sc2c1cc(O)cc2,,"InChI=1S/C8H7NOS/c1-5-9-7-4-6(10)2-3-8(7)11-5/h2-4,10H,1H3",LAKVUPMDDFICNR-UHFFFAOYSA-N
